
> blue-ocean@0.0.1 server
> node server/index.js

[dotenv@17.2.3] injecting env (13) from .env -- tip: ⚙️  specify custom .env file path with { path: '/custom/path/.env' }
[dotenv@17.2.3] injecting env (0) from .env -- tip: ⚙️  enable debug logging with { debug: true }
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"email":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(Use `node --trace-warnings ...` to show where the warning was created)
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"orderNumber":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"slug":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
✅ MongoDB Connected: mongodb://localhost:27017/blueocean
🚀 Blue Ocean API server running on http://localhost:3001
📡 Frontend URL: http://localhost:5173
🌍 Environment: development
💾 Database: MongoDB Connected

✅ Server ready! CORS configured for: http://localhost:5173
2025-11-10T22:35:48.370Z - GET /api/metrics
2025-11-10T22:35:52.057Z - POST /api/auth/signin
2025-11-10T22:35:55.247Z - GET /api/subscriptions/current
2025-11-10T22:35:55.254Z - GET /api/subscriptions/current
2025-11-10T22:36:05.865Z - GET /api/health
2025-11-10T22:36:18.870Z - POST /api/auth/signin
2025-11-10T22:36:22.211Z - GET /api/subscriptions/current
2025-11-10T22:36:22.229Z - GET /api/subscriptions/current
2025-11-10T22:36:30.833Z - GET /api/metrics
2025-11-10T22:36:30.849Z - GET /api/metrics
2025-11-10T22:36:35.687Z - GET /api/metrics
2025-11-10T22:36:35.921Z - GET /api/subscriptions/current
2025-11-10T22:36:35.986Z - GET /api/metrics
2025-11-10T22:36:36.472Z - GET /api/metrics
2025-11-10T22:36:37.998Z - GET /api/subscriptions/current
2025-11-10T22:36:40.204Z - GET /api/metrics
2025-11-10T22:37:01.066Z - GET /api/products
2025-11-10T22:37:02.075Z - GET /api/products
2025-11-10T22:37:43.149Z - GET /api/subscriptions/current
2025-11-10T22:38:01.143Z - POST /api/auth/signin
2025-11-10T22:38:05.828Z - GET /api/subscriptions/current
2025-11-10T22:38:08.526Z - POST /api/subscriptions
2025-11-10T22:38:17.657Z - GET /api/subscriptions/current
2025-11-10T22:38:28.444Z - DELETE /api/subscriptions/sub_fdec8abe-45c5-4c1e-9f16-5a81dcdeda9a
2025-11-10T22:38:30.073Z - PUT /api/subscriptions/sub_fdec8abe-45c5-4c1e-9f16-5a81dcdeda9a
